TIME,FOPR,FGPR,FWPR,FWCT,FGOR,FWIR,FGIR
0,0.00273785088211298,0.0,0.5727999806404114,8019.2001953125,14000.0,0.009019206278026104,0.0
30,0.01095140352845192,0.0,0.5727999806404114,8019.2001953125,14000.0,0.008946253918111324,0.0
60,0.028921645134687424,0.0,0.5727999806404114,8019.2001953125,14000.0,0.008910715579986572,0.0
90,0.06194118410348892,0.0,0.5727999806404114,8019.2001953125,14000.0,0.00887925736606121,0.0
120,0.08487337082624435,0.0,0.5727999806404114,8019.2001953125,14000.0,0.008862782269716263,0.0
150,0.12829984724521637,0.0,0.5630775690078735,7883.08642578125,14000.0,0.009272987954318523,0.0
180,0.1615331918001175,0.0,0.5213050842285156,7298.271484375,14000.0,0.011662452481687069,0.0
210,0.21633338928222656,0.0,0.5288086533546448,6756.86328125,12777.521484375,0.015103539451956749,0.0
240,0.24640657007694244,0.0,0.550075352191925,6145.18115234375,11171.525390625,0.015772024169564247,0.0
270,0.2874743342399597,0.0,0.5561827421188354,5588.17529296875,10047.373046875,0.016089361160993576,0.0
300,0.3285420835018158,0.0,0.5537775158882141,5183.58984375,9360.419921875,0.016209792345762253,0.0
330,0.41341546177864075,0.0,0.5506702065467834,4696.76904296875,8529.185546875,0.016372643411159515,0.0
360,0.4955509901046753,0.0,0.5486704707145691,4375.44091796875,7974.62451171875,0.01649491861462593,0.0
390,0.5804243683815002,0.0,0.5475926995277405,4120.25341796875,7524.30322265625,0.016619794070720673,0.0
420,0.6652977466583252,0.0,0.5498347878456116,3916.427734375,7122.9169921875,0.016801748424768448,0.0
450,0.7474332451820374,0.0,0.5558211207389832,3757.981201171875,6761.13427734375,0.01704453118145466,0.0
480,0.8323066234588623,0.0,0.5647103190422058,3622.908935546875,6415.517578125,0.017338212579488754,0.0
510,0.9144421815872192,0.0,0.5740172863006592,3505.1123046875,6106.28369140625,0.017635853961110115,0.0
540,0.9993155598640442,0.0,0.5840634703636169,3394.67529296875,5812.16845703125,0.017953285947442055,0.0
570,1.0841889381408691,0.0,0.5946888327598572,3294.63232421875,5540.09423828125,0.01828353852033615,0.0
600,1.1608487367630005,0.0,0.6071905493736267,3227.94580078125,5316.19873046875,0.01854100078344345,0.0
630,1.2457220554351807,0.0,0.6222286224365234,3164.9833984375,5086.52783203125,0.018801676109433174,0.0
660,1.3278576135635376,0.0,0.6372716426849365,3110.434814453125,4880.8623046875,0.019039545208215714,0.0
690,1.4127310514450073,0.0,0.6544567942619324,3062.0908203125,4678.828125,0.019294019788503647,0.0
720,1.4948664903640747,0.0,0.677850604057312,3042.66015625,4488.68798828125,0.01959236152470112,0.0
750,1.5797399282455444,0.0,0.7018528580665588,3022.70263671875,4306.7470703125,0.01989685371518135,0.0
780,1.6646132469177246,0.0,0.7291257977485657,3013.252197265625,4132.69140625,0.020226363092660904,0.0
810,1.7467488050460815,0.0,0.7583141326904297,3011.3291015625,3971.083984375,0.020567746832966805,0.0
840,1.8316221237182617,0.0,0.7911435961723328,3014.654052734375,3810.501953125,0.020943116396665573,0.0
870,1.9137576818466187,0.0,0.825496256351471,3022.33935546875,3661.2392578125,0.021328013390302658,0.0
900,1.9986311197280884,0.0,0.8636196255683899,3033.938720703125,3513.0498046875,0.021748576313257217,0.0
930,2.0835044384002686,0.0,0.9016185402870178,3050.374755859375,3383.220947265625,0.022156327962875366,14000.0
960,2.1601643562316895,0.0,0.9317380785942078,3070.380126953125,3295.3251953125,0.022463621571660042,14000.0
990,2.24503755569458,0.0,0.9524995684623718,3096.4482421875,3250.86572265625,0.0226492527872324,14000.0
1020,2.3271732330322266,0.0,0.956505298614502,3122.518798828125,3264.5078125,0.022641753777861595,14000.0
1050,2.412046432495117,0.0,0.9455438256263733,3151.86376953125,3333.38720703125,0.02246662601828575,14000.0
1080,2.4941821098327637,0.0,0.9200963377952576,3170.834716796875,3446.19873046875,0.022145265713334084,14000.0
1110,2.5790555477142334,0.0,0.8764852285385132,3166.327880859375,3612.528564453125,0.021642768755555153,14000.0
1140,2.663928747177124,0.0,0.8196267485618591,3137.232177734375,3827.635009765625,0.021000217646360397,14000.0
1170,2.7460644245147705,0.0,0.7563713192939758,3087.083984375,4081.440185546875,0.020275717601180077,14000.0
1200,2.830937623977661,0.0,0.6924865245819092,3032.326416015625,4378.89599609375,0.01949678361415863,14000.0
1230,2.9130733013153076,0.0,0.6367989182472229,2985.73095703125,4688.65576171875,0.018781766295433044,14000.0
1260,2.9979465007781982,0.0,0.590659499168396,2966.73583984375,5022.75146484375,0.018122756853699684,14000.0
1290,3.082819938659668,14000.0,0.8135623931884766,4378.4091796875,5381.77392578125,0.018636299297213554,0.0
1320,3.121149778366089,14000.0,0.9137057662010193,5082.646484375,5562.67333984375,0.018538903445005417,0.0
1350,3.159479856491089,14000.0,0.9618626236915588,5565.6220703125,5786.29638671875,0.018215302377939224,0.0
1380,3.2443532943725586,14000.0,1.088780164718628,6699.34521484375,6153.07470703125,0.017797926440835,0.0
