TIME,FOPR,FGPR,FWPR,FWCT,FGOR,FWIR,FGIR
0,0.00273785088211298,0.0,0.5727999806404114,8019.2001953125,14000.0,0.009012723341584206,0.0
30,0.01095140352845192,0.0,0.5727999806404114,8019.2001953125,14000.0,0.008980527520179749,0.0
60,0.02914505824446678,0.0,0.5727999806404114,8019.2001953125,14000.0,0.008958003483712673,0.0
90,0.06161325052380562,0.0,0.5727999806404114,8019.2001953125,14000.0,0.008925161324441433,0.0
120,0.08487337082624435,0.0,0.5727999806404114,8019.2001953125,14000.0,0.008904228918254375,0.0
150,0.12843911349773407,0.0,0.5727999806404114,8019.2001953125,14000.0,0.00886734388768673,0.0
180,0.1615331918001175,0.0,0.5727999806404114,8019.2001953125,14000.0,0.008843299001455307,0.0
210,0.21114481985569,0.0,0.5268791317939758,7376.30810546875,14000.0,0.010754203423857689,0.0
240,0.24640657007694244,0.0,0.5173545479774475,7242.96337890625,14000.0,0.011644845828413963,0.0
270,0.3285420835018158,0.0,0.5098841190338135,7138.37744140625,14000.0,0.013120587915182114,0.0
300,0.41341546177864075,0.0,0.5146211385726929,7204.69580078125,14000.0,0.014010301791131496,0.0
330,0.4955509901046753,0.0,0.5217845439910889,7304.98388671875,14000.0,0.014863632619380951,0.0
360,0.5804243683815002,0.0,0.5442254543304443,7619.15576171875,14000.0,0.015924762934446335,0.0
390,0.6652977466583252,0.0,0.5831109285354614,8163.552734375,14000.0,0.01728101074695587,0.0
420,0.7474332451820374,0.0,0.6346814036369324,8885.5390625,14000.0,0.01895703375339508,0.0
450,0.8323066234588623,0.0,0.7259047031402588,10162.666015625,14000.0,0.020541276782751083,0.0
480,0.9144421815872192,0.0,0.8638824820518494,12094.35546875,14000.0009765625,0.022540925070643425,0.0
510,0.9993155598640442,0.0,1.0237561464309692,12710.1240234375,12415.1865234375,0.024468770250678062,0.0
540,1.0841889381408691,0.0,1.2054696083068848,12653.7109375,10496.9150390625,0.026246897876262665,0.0
570,1.1608487367630005,0.0,1.377441167831421,12671.2548828125,9199.1259765625,0.027577832341194153,0.0
600,1.2457220554351807,0.0,1.5756572484970093,12545.8017578125,7962.265625,0.02916325442492962,0.0
630,1.3278576135635376,0.0,1.783388614654541,12342.3876953125,6920.75,0.03063485398888588,0.0
660,1.4127310514450073,0.0,2.1155080795288086,12731.3173828125,6018.08935546875,0.03168432414531708,0.0
690,1.4948664903640747,0.0,2.459357500076294,12998.2939453125,5285.240234375,0.032601188868284225,0.0
720,1.5797399282455444,0.0,2.804919958114624,12855.6708984375,4583.2578125,0.033574361354112625,0.0
750,1.6646132469177246,0.0,3.1325137615203857,12382.6298828125,3952.937255859375,0.034475862979888916,0.0
780,1.7467488050460815,0.0,3.5222556591033936,11941.099609375,3390.185546875,0.035214558243751526,0.0
810,1.8316221237182617,0.0,4.014728546142578,11677.841796875,2908.75,0.03556586056947708,0.0
840,1.9137576818466187,0.0,4.463644981384277,11075.6708984375,2481.306396484375,0.0358397550880909,0.0
870,1.9986311197280884,0.0,4.89165735244751,10196.5263671875,2084.47265625,0.03605581820011139,0.0
900,2.0835044384002686,0.0,5.353283882141113,9775.2734375,1826.0330810546875,0.03610708937048912,14000.0
930,2.1601643562316895,0.0,5.719441890716553,9406.0341796875,1644.572021484375,0.03596966713666916,14000.0
960,2.24503755569458,0.0,6.126598358154297,8984.806640625,1466.5244140625,0.03577477112412453,14000.0
990,2.3271732330322266,0.0,6.525344371795654,8537.3701171875,1308.3402099609375,0.035657335072755814,14000.0
1020,2.412046432495117,0.0,6.8560872077941895,7962.25244140625,1161.340576171875,0.03558110445737839,14000.0
1050,2.4941821098327637,0.0,7.106707572937012,7382.7744140625,1038.845947265625,0.03549817577004433,14000.0
1080,2.5790555477142334,0.0,7.301737308502197,6821.15625,934.1826782226562,0.035400841385126114,14000.0
1110,2.663928747177124,0.0,7.445412635803223,6325.5283203125,849.58740234375,0.035295043140649796,14000.0
1140,2.7460644245147705,0.0,7.545893669128418,5913.10595703125,783.6190185546875,0.03519057109951973,14000.0
1170,2.830937623977661,0.0,7.615455150604248,5556.4990234375,729.634521484375,0.03508487343788147,14000.0
1200,2.9130733013153076,0.0,7.6565399169921875,5261.1015625,687.1383056640625,0.0349881611764431,14000.0
1230,2.9979465007781982,0.0,7.665611743927002,5025.6044921875,655.6038818359375,0.03488323464989662,14000.0
1260,3.082819938659668,14000.0,7.601412296295166,7616.43896484375,1001.976806640625,0.03409626707434654,0.0
1290,3.1252567768096924,14000.0,7.564719200134277,8905.2841796875,1177.2127685546875,0.033756501972675323,0.0
1320,3.159479856491089,14000.0,7.578818321228027,9808.4990234375,1294.198974609375,0.03355233371257782,0.0
1350,3.2443532943725586,14000.0,7.665505409240723,11156.1630859375,1455.3720703125,0.03332128748297691,0.0
